press,News Source,Advice,FS,Sample,Exaggeration
05-11-2021,bbc,1,0,1,1
14-11-2007,bbc,1,0,0,1
05-11-2024,reuters,1,1,0,1
07-11-2025,sunday_sun,0,0,1,1
03-11-2024,metro,0,0,1,1
08-11-2008,express,0,0,0,0
03-11-2020,telegraph,1,0,0,1
01-11-2013,independent,1,0,0,1
05-11-1930,scotsman,0,0,0,0
09-11-2012,daily_mail,0,1,0,1
05-11-2011,daily_mail,0,0,1,1
03-11-2013,guardian,1,0,1,1
07-11-1930,daily_mail,0,1,0,1
07-11-1930,metro,0,1,0,1
03-11-2026,express,1,1,0,1
13-11-2010,independent,1,0,0,1
03-11-2004,bbc,0,1,0,1
03-11-2024,daily_mail,0,0,1,1
06-11-2018,telegraph,0,1,1,1
05-11-2008,express,0,0,1,1
19-11-2001,times,0,0,0,0
05-11-2010,sun,0,0,0,0
02-11-1949,daily_mail,0,0,0,0
07-11-2002,guardian,0,1,0,1
06-11-2018,times,0,1,0,1
15-11-2011,telegraph,1,0,0,1
03-11-2026,times,1,1,0,1
08-11-2018,mirror,0,1,0,1
19-11-2013,mirror,0,0,0,0
02-11-2029,guardian,1,0,0,1
01-11-2023,independent,1,0,0,1
07-11-2017,guardian,1,0,0,1
03-11-2026,daily_mail,1,1,0,1
03-11-2001,guardian,0,0,0,0
15-11-2006,bbc,0,0,0,0
04-11-2001,bbc,0,1,0,1
16-11-2007,bbc,1,0,0,1
15-11-2011,scotsman,1,0,0,1
16-11-2007,times,1,0,0,1
12-11-2009,express,0,0,0,0
16-11-2005,express,0,0,0,0
05-11-1936,sun,0,0,1,1
19-11-2014,reuters,0,1,0,1
04-11-2008,sun,0,0,0,0
01-11-2015,independent,0,0,0,0
16-11-2007,guardian,1,0,0,1
12-11-2015,telegraph,0,1,1,1
18-11-2005,bbc,1,1,0,1
12-11-2015,express,0,1,1,1
15-11-2016,bbc,0,1,0,1
20-11-2014,daily_mail,0,0,0,0
03-11-1933,reuters,0,1,0,1
07-11-2004,metro,0,1,0,1
03-11-1938,bbc,0,0,0,0
05-11-1930,metro,0,0,0,0
03-11-2004,reuters,0,1,0,1
20-11-2020,telegraph,0,0,0,0
03-11-2006,daily_mail,0,0,1,1
19-11-2011,express,0,1,0,1
03-11-2011,daily_mail,1,1,0,1
09-11-2004,express,0,0,0,0
03-11-2004,mail_sunday,0,1,0,1
03-11-2005,bbc,0,0,0,0
12-11-2008,express,0,0,0,0
19-11-2004,bbc,0,0,0,0
13-11-2016,sun,0,0,0,0
03-11-2014,guardian,1,0,0,1
15-11-2010,bbc,0,0,0,0
02-11-2023,guardian,0,1,0,1
07-11-2017,times,0,0,0,0
08-11-2018,independent,0,1,0,1
20-11-2014,mirror,0,0,0,0
16-11-2007,express,0,0,0,0
15-11-2011,bbc,1,0,0,1
06-11-2020,telegraph,0,0,0,0
19-11-2014,sun,0,1,0,1
05-11-2007,scotsman,1,0,1,1
20-11-2011,sun,0,0,0,0
13-11-2010,sun,0,0,0,0
03-11-2020,reuters,0,0,0,0
14-11-2002,independent,1,0,0,1
10-11-2003,telegraph,0,1,0,1
16-11-2007,mirror,1,0,0,1
07-11-2018,telegraph,1,0,0,1
15-11-2023,bbc,0,0,0,0
15-11-2014,daily_mail,0,1,0,1
09-11-2004,times,0,0,0,0
09-11-2003,express,0,1,0,1
02-11-1936,telegraph,0,0,0,0
05-11-2002,daily_mail,0,0,0,0
18-11-2013,guardian,1,1,0,1
03-11-1932,sun,0,1,0,1
08-11-2028,independent,0,0,0,0
02-11-1930,express,1,0,0,1
08-11-2018,telegraph,0,1,0,1
16-11-2006,metro,0,0,0,0
08-11-2028,guardian,0,0,0,0
12-11-2012,daily_mail,0,0,1,1
07-11-2010,telegraph,0,1,0,1
12-11-2026,mirror,0,0,0,0
18-11-2011,mirror,0,0,0,0
07-11-1933,sun,0,0,0,0
08-11-2026,telegraph,0,0,0,0
02-11-2002,times,0,1,0,1
01-11-2013,guardian,0,0,0,0
08-11-2008,telegraph,0,0,0,0
05-11-2024,scotsman,0,0,0,0
15-11-2014,mirror,0,1,0,1
19-11-2003,bbc,1,0,0,1
03-11-2027,reuters,0,0,0,0
06-11-2005,sun,0,0,1,1
05-11-2006,scotsman,0,0,0,0
03-11-2028,sun,0,1,1,1
04-11-2010,express,0,1,0,1
08-11-2026,scotsman,0,0,0,0
05-11-1930,independent,0,0,0,0
13-11-2009,telegraph,0,0,0,0
03-11-2022,mirror,0,0,0,0
03-11-2004,telegraph,0,1,0,1
03-11-2019,daily_mail,0,0,0,0
03-11-2025,express,0,0,1,1
02-11-1940,independent,1,0,0,1
05-11-2010,express,0,0,0,0
15-11-2023,scotsman,0,0,0,0
01-11-2016,metro,0,0,0,0
02-11-1940,reuters,0,0,0,0
05-11-1936,independent,0,0,1,1
17-11-2007,daily_mail,0,1,0,1
08-11-2026,guardian,0,0,0,0
03-11-1942,mirror,0,0,0,0
14-11-2020,mirror,0,0,0,0
12-11-2005,independent,1,0,0,1
15-11-2021,metro,0,0,0,0
01-11-2016,express,0,0,0,0
06-11-2010,metro,0,0,1,1
03-11-1932,times,0,1,0,1
05-11-2004,bbc,0,0,0,0
05-11-2021,reuters,1,0,1,1
01-11-2023,mirror,0,0,0,0
07-11-1938,daily_mail,0,0,0,0
15-11-2014,daily_star,0,1,0,1
05-11-1934,metro,0,0,0,0
02-11-1954,telegraph,0,0,0,0
16-11-2007,daily_mail,0,0,0,0
15-11-2014,independent,0,1,0,1
01-11-2002,daily_mail,0,1,0,1
12-11-2003,mirror,0,0,0,0
01-11-2023,express,0,0,0,0
18-11-2004,telegraph,1,0,0,1
02-11-1954,sun,0,1,0,1
04-11-2001,reuters,0,1,0,1
03-11-2027,times,0,1,0,1
06-11-2001,mirror,0,1,0,1
02-11-1951,express,0,1,0,1
01-11-2016,scotsman,0,0,0,0
03-11-2005,independent,0,0,0,0
20-11-2011,telegraph,0,0,0,0
16-11-2002,telegraph,1,0,0,1
17-11-2012,telegraph,0,0,0,0
01-11-2023,metro,1,0,0,1
14-11-2027,bbc,1,0,0,1
15-11-2026,reuters,0,0,1,1
05-11-2011,bbc,0,0,1,1
01-11-2023,daily_mail,1,0,0,1
06-11-2011,sun,0,0,0,0
07-11-2029,express,0,0,0,0
04-11-2009,express,0,0,0,0
04-11-2008,daily_mail,0,0,0,0
04-11-2010,independent,0,1,0,1
07-11-2001,express,0,0,0,0
03-11-1932,reuters,0,1,1,1
13-11-2011,express,0,0,1,1
04-11-2008,bbc,0,1,0,1
19-11-2001,telegraph,0,0,0,0
05-11-2007,bbc,0,0,1,1
05-11-1935,bbc,0,0,0,0
04-11-2018,reuters,0,0,0,0
05-11-1931,metro,0,0,0,0
07-11-2029,telegraph,0,0,0,0
12-11-2012,mirror,0,0,0,0
08-11-2018,reuters,0,1,0,1
15-11-2018,bbc,0,0,0,0
04-11-2001,independent,0,1,0,1
04-11-2009,daily_mail,0,0,0,0
15-11-2016,sun,0,1,0,1
01-11-2015,daily_star,0,0,0,0
01-11-2015,daily_mail,0,0,0,0
08-11-2026,independent,0,0,0,0
03-11-2004,express,0,1,0,1
08-11-2028,bbc,0,0,0,0
06-11-2007,mirror,0,0,0,0
07-11-2022,mirror,0,0,0,0
08-11-2018,express,0,1,0,1
02-11-2027,times,0,1,0,1
14-11-2018,daily_mail,0,1,0,1
15-11-2006,express,1,0,1,1
12-11-2026,daily_mail,0,0,0,0
03-11-2027,independent,0,0,0,0
08-11-2026,sun,0,0,0,0
05-11-2007,reuters,0,0,0,0
02-11-1930,telegraph,1,0,0,1
13-11-2002,guardian,1,0,0,1
03-11-2005,reuters,0,0,0,0
17-11-2007,telegraph,0,1,0,1
06-11-2010,express,0,0,1,1
14-11-2004,telegraph,0,0,0,0
09-11-2003,daily_mail,0,0,0,0
07-11-2016,press_association,0,0,0,0
02-11-1936,independent,0,0,0,0
07-11-2002,express,0,0,0,0
12-11-2012,metro,0,0,0,0
01-11-2013,bbc,1,0,0,1
08-11-2028,telegraph,0,0,0,0
12-11-2019,guardian,0,0,0,0
13-11-2010,times,1,0,0,1
06-11-2011,metro,0,0,0,0
15-11-2013,express,0,0,0,0
03-11-1940,sun,1,0,1,1
19-11-2006,guardian,0,1,0,1
05-11-2002,telegraph,0,0,0,0
05-11-2025,express,0,0,0,0
02-11-2012,telegraph,0,1,0,1
13-11-2010,metro,0,0,0,0
15-11-2013,mirror,0,0,0,0
03-11-2001,scotsman,0,0,0,0
06-11-2025,guardian,1,0,1,1
16-11-2007,metro,0,0,0,0
08-11-2019,reuters,0,0,0,0
15-11-2016,independent,0,0,0,0
05-11-2001,express,1,0,1,1
03-11-2001,reuters,0,0,0,0
11-11-2004,daily_mail,0,0,0,0
06-11-2007,bbc,1,0,0,1
07-11-2013,metro,0,0,0,0
05-11-2005,scotsman,0,1,1,1
12-11-2026,reuters,0,0,0,0
13-11-2010,telegraph,0,0,0,0
19-11-2014,new_scientist,0,0,0,0
14-11-2006,telegraph,0,1,0,1
06-11-2007,express,0,0,0,0
02-11-2022,daily_mail,1,1,0,1
18-11-2013,telegraph,1,1,0,1
20-11-2011,bbc,0,0,0,0
03-11-2026,bbc,1,1,0,1
14-11-2012,times,0,1,0,1
20-11-2011,metro,0,0,0,0
05-11-2018,telegraph,0,0,0,0
09-11-2004,mirror,0,0,0,0
20-11-2014,bbc,0,0,0,0
03-11-2012,times,0,0,0,0
07-11-2018,express,1,0,0,1
17-11-2012,times,0,0,0,0
07-11-2004,telegraph,0,1,0,1
03-11-1938,telegraph,0,0,0,0
07-11-2015,telegraph,0,0,1,1
18-11-2006,independent,0,0,0,0
05-11-2010,metro,0,0,0,0
18-11-2012,bbc,0,1,0,1
02-11-1936,metro,0,0,0,0
15-11-2016,metro,0,1,0,1
01-11-2013,times,1,0,0,1
08-11-2027,mirror,0,0,1,1
08-11-2021,telegraph,0,0,0,0
07-11-2010,bbc,0,1,0,1
16-11-2005,bbc,0,0,0,0
05-11-2022,metro,0,0,0,0
02-11-1940,bbc,1,0,0,1
03-11-2024,guardian,0,1,1,1
08-11-2018,daily_mail,0,1,0,1
02-11-1940,scotsman,0,0,0,0
19-11-2009,telegraph,0,0,0,0
12-11-2005,guardian,0,0,0,0
03-11-1935,bbc,0,0,0,0
16-11-2005,sun,0,1,0,1
07-11-2002,daily_mail,0,1,0,1
02-11-2002,daily_mail,1,1,0,1
13-11-2016,times,0,0,0,0
05-11-2025,metro,0,0,1,1
13-11-2016,telegraph,0,0,0,0
17-11-2003,telegraph,0,0,0,0
04-11-2017,daily_mail,0,0,0,0
04-11-2018,telegraph,0,0,0,0
01-11-2013,sun,1,0,0,1
05-11-2011,express,0,0,1,1
03-11-2011,guardian,1,0,0,1
05-11-2018,sun,0,0,0,0
13-11-2012,reuters,0,0,0,0
01-11-2015,telegraph,0,0,1,1
06-11-2011,daily_star,0,0,0,0
08-11-2004,times,0,0,0,0
07-11-2026,telegraph,0,0,0,0
20-11-2011,mirror,0,0,0,0
12-11-2005,telegraph,0,0,0,0
15-11-2013,telegraph,0,1,0,1
05-11-2002,reuters,0,0,0,0
07-11-2011,telegraph,0,1,0,1
13-11-2010,guardian,1,0,0,1
19-11-2006,bbc,1,1,0,1
05-11-2011,independent,0,0,1,1
13-11-2013,independent,0,1,0,1
03-11-2026,independent,1,1,0,1
12-11-2008,daily_mail,0,0,0,0
05-11-1936,bbc,0,0,1,1
15-11-2001,bbc,0,0,0,0
06-11-2006,daily_mail,1,1,0,1
17-11-2012,bbc,0,0,0,0
05-11-2018,express,0,0,0,0
03-11-1940,mirror,1,0,1,1
06-11-2025,express,0,0,1,1
03-11-2022,sun,0,1,0,1
14-11-2012,telegraph,0,1,0,1
01-11-2013,daily_mail,1,0,0,1
03-11-2026,telegraph,1,1,0,1
08-11-2008,sun,0,1,0,1
03-11-2005,daily_mail,0,0,0,0
08-11-2021,bbc,0,0,1,1
20-11-2014,reuters,0,0,0,0
09-11-2004,bbc,0,0,0,0
06-11-2025,telegraph,1,0,1,1
20-11-2004,telegraph,0,0,0,0
07-11-2011,sun,0,1,0,1
07-11-2002,sun,0,1,0,1
15-11-2006,sun,0,0,1,1
15-11-2013,bbc,0,1,0,1
04-11-2001,express,0,1,0,1
03-11-2026,scotsman,1,1,0,1
15-11-2011,guardian,0,1,0,1
01-11-2016,daily_mail,0,0,0,0
02-11-2027,independent,0,1,0,1
01-11-2002,telegraph,0,1,0,1
04-11-2012,daily_mail,0,0,0,0
06-11-2025,daily_mail,0,0,1,1
07-11-2017,reuters,1,0,0,1
06-11-2018,express,0,0,0,0
03-11-2005,guardian,1,0,0,1
07-11-1941,sun,0,1,0,1
02-11-1931,daily_mail,0,0,1,1
06-11-2001,daily_mail,0,1,0,1
07-11-2001,reuters,0,0,0,0
03-11-2005,telegraph,0,0,0,0
05-11-2007,telegraph,0,0,1,1
05-11-2029,metro,0,0,0,0
02-11-2023,express,0,1,0,1
13-11-2016,daily_mail,0,0,0,0
13-11-2002,bbc,1,0,0,1
07-11-1933,daily_mail,0,0,0,0
04-11-2008,independent,0,1,0,1
11-11-2005,express,0,0,0,0
14-11-2007,reuters,1,0,0,1
03-11-2022,telegraph,0,0,0,0
13-11-2015,telegraph,0,1,0,1
07-11-1938,reuters,0,0,1,1
15-11-2016,times,0,1,0,1
03-11-2027,telegraph,0,0,0,0
19-11-2012,independent,0,0,0,0
03-11-2022,metro,0,0,0,0
06-11-2007,reuters,0,0,0,0
15-11-2014,express,0,1,0,1
15-11-2016,mirror,0,1,0,1
04-11-2001,telegraph,0,1,0,1
12-11-2026,express,0,0,0,0
15-11-2015,bbc,0,0,0,0
04-11-2001,times,0,1,0,1
07-11-2013,mirror,0,0,0,0
08-11-2004,daily_mail,0,0,0,0
09-11-2013,express,0,0,1,1
04-11-2007,independent,0,0,0,0
19-11-2009,daily_mail,0,0,0,0
05-11-2012,bbc,0,0,1,1
08-11-2011,daily_mail,0,1,0,1
06-11-2018,bbc,0,0,0,0
20-11-2005,bbc,1,0,0,1
19-11-2014,daily_mail,1,1,0,1
17-11-2007,metro,0,1,0,1
12-11-2019,times,0,0,0,0
03-11-2027,guardian,0,1,0,1
16-11-2005,mirror,0,0,0,0
02-11-2002,express,1,1,0,1
14-11-2012,bbc,0,1,0,1
02-11-1936,bbc,0,1,0,1
12-11-2015,mirror,0,1,1,1
05-11-2026,metro,0,0,1,1
15-11-2013,sun,0,0,0,0
19-11-2002,telegraph,0,0,0,0
12-11-2005,mirror,1,0,0,1
03-11-1933,daily_mail,1,1,0,1
05-11-2006,times,0,0,0,0
02-11-2004,guardian,1,0,0,1
08-11-2004,reuters,0,0,0,0
12-11-2023,bbc,0,0,0,0
08-11-2003,bbc,0,0,0,0
08-11-2017,daily_mail,0,0,0,0
16-11-2007,sun,1,0,0,1
17-11-2012,daily_mail,0,0,0,0
12-11-2028,reuters,0,1,0,1
03-11-2027,scotsman,0,1,0,1
02-11-2023,daily_mail,1,0,0,1
03-11-2019,telegraph,0,0,0,0
16-11-2003,bbc,0,0,0,0
07-11-1932,telegraph,1,0,0,1
19-11-2011,metro,0,1,0,1
03-11-2026,metro,0,1,0,1
16-11-2007,reuters,1,0,0,1
04-11-2017,bbc,0,0,0,0
02-11-1936,guardian,0,0,0,0
11-11-2001,express,0,1,0,1
05-11-2020,scotsman,0,0,1,1
06-11-2011,mirror,0,0,0,0
06-11-2010,scotsman,0,0,1,1
01-11-2015,bbc,0,0,0,0
06-11-2015,bbc,1,0,0,1
14-11-2006,sunday_times,0,1,0,1
19-11-2016,bbc,0,0,0,0
09-11-2003,mirror,0,1,0,1
01-11-2019,times,0,0,0,0
19-11-2010,sun,0,0,0,0
03-11-2026,guardian,1,1,0,1
06-11-2011,express,0,0,0,0
05-11-2023,daily_mail,0,0,0,0
05-11-2024,mirror,0,1,0,1
06-11-2001,guardian,0,1,0,1
05-11-2018,metro,0,0,0,0
03-11-2012,scotsman,0,0,0,0
14-11-2006,daily_mail,1,0,0,1
05-11-2008,metro,0,0,1,1
14-11-2021,daily_mail,0,0,0,0
13-11-2010,express,1,0,0,1
06-11-2007,daily_mail,0,0,0,0
03-11-2027,bbc,0,0,0,0
06-11-2023,bbc,1,0,0,1
03-11-2013,bbc,1,0,0,1
06-11-2021,scotsman,0,0,0,0
05-11-2009,sun,0,0,1,1
01-11-2016,independent,0,0,0,0
16-11-2005,metro,0,1,0,1
03-11-2019,guardian,0,0,0,0
02-11-2002,independent,0,1,0,1
02-11-1949,mirror,0,0,0,0
13-11-2003,daily_mail,1,0,0,1
02-11-2001,times,0,0,0,0
05-11-2002,bbc,0,0,0,0
20-11-2019,telegraph,1,0,0,0
15-11-2027,telegraph,0,0,0,0
02-11-1930,bbc,1,0,0,1
07-11-2002,bbc,0,1,0,1
02-11-1930,mirror,1,0,0,1
12-11-2024,times,0,0,0,0
05-11-2009,bbc,0,0,1,1
07-11-1933,reuters,0,0,0,0
20-11-2005,mirror,0,0,0,0
15-11-2016,scotsman,0,1,0,1
06-11-2025,sun,0,1,1,1
09-11-2003,daily_star,0,1,0,1
15-11-2011,sun,1,1,0,1
08-11-2011,reuters,0,1,0,1
16-11-2006,mirror,0,0,0,0
03-11-1940,daily_mail,1,0,1,1
08-11-2014,mirror,1,1,0,1
03-11-2028,reuters,0,1,1,1
06-11-2014,daily_mail,1,0,0,1
15-11-2021,telegraph,0,0,0,0
19-11-2012,metro,0,0,0,0
05-11-1935,sun,0,0,0,0
14-11-2012,guardian,0,1,0,1
05-11-2007,sun,1,0,1,1
07-11-2011,scotsman,0,1,0,1
05-11-1931,independent,0,0,0,0
03-11-2029,reuters,0,0,0,0
05-11-2028,scotsman,0,1,0,1
01-11-2015,metro,0,0,0,0
07-11-2002,economist,0,0,0,0
02-11-2002,bbc,1,1,0,1
15-11-2016,guardian,0,0,0,0
19-11-2014,metro,0,1,0,1
18-11-2013,daily_mail,1,0,0,1
16-11-2006,bbc,0,0,0,0
03-11-2025,independent,0,0,0,0
13-11-2002,mirror,1,0,0,1
05-11-1936,metro,0,0,1,1
01-11-2013,scotsman,1,0,0,1
03-11-2001,daily_mail,0,0,0,0
11-11-2005,metro,0,0,0,0
02-11-2002,guardian,0,1,0,1
03-11-2028,express,0,1,1,1
15-11-2013,metro,0,0,0,0
07-11-2029,mirror,0,0,0,0
06-11-2023,metro,0,0,0,0
05-11-2010,bbc,0,0,0,0
08-11-2026,metro,0,0,0,0
07-11-1932,metro,1,0,0,1
03-11-2026,reuters,1,0,0,1
07-11-2029,times,0,0,0,0
07-11-2020,guardian,1,0,0,1
07-11-2017,press_association,1,0,0,1
05-11-2010,scotsman,1,0,0,1
11-11-2001,guardian,1,1,0,1
20-11-2003,daily_mail,0,1,0,1
14-11-2012,express,0,1,0,1
07-11-2020,bbc,1,0,0,1
04-11-2007,telegraph,0,0,0,0
05-11-2023,times,0,0,0,0
04-11-2008,metro,0,1,0,1
09-11-2009,reuters,0,0,0,0
08-11-2027,independent,0,0,0,0
05-11-2004,times,0,0,0,0
19-11-2014,mirror,0,1,0,1
07-11-2029,daily_mail,0,0,0,0
05-11-2011,sun,0,0,1,1
15-11-2013,daily_mail,0,0,0,0
05-11-1931,daily_mail,0,0,0,0
05-11-2018,bbc,0,0,0,0
11-11-2006,telegraph,0,1,0,1
12-11-2026,guardian,0,0,0,0
01-11-2015,mirror,0,0,0,0
08-11-2026,mirror,0,0,0,0
05-11-2021,daily_mail,1,0,1,1
13-11-2016,bbc,0,0,0,0
06-11-2023,independent,0,0,0,0
13-11-2003,independent,0,1,0,1
15-11-2014,bbc,0,0,0,0
20-11-2020,daily_mail,1,0,0,1
12-11-2005,bbc,0,0,0,0
07-11-2024,bbc,0,0,1,1
04-11-2001,daily_mail,0,1,0,1
15-11-2001,reuters,0,0,0,0
05-11-2005,metro,0,0,1,0
11-11-2001,sun,0,1,0,1
02-11-2002,telegraph,0,1,0,1
05-11-2018,daily_mail,1,0,0,1
14-11-2003,daily_star,0,0,0,0
01-11-2023,reuters,1,0,0,1
05-11-1931,bbc,0,0,0,0
03-11-2025,times,0,0,0,0
05-11-1934,bbc,0,0,0,0
07-11-1938,sun,0,0,1,1
03-11-2001,sun,0,0,0,0
04-11-2016,bbc,1,0,0,1
01-11-2016,guardian,0,0,0,0
07-11-2017,bbc,1,0,0,1
15-11-2017,bbc,0,0,0,0
04-11-2001,guardian,0,1,0,1
07-11-2011,express,0,1,0,1
16-11-2001,bbc,0,0,1,1
05-11-2023,guardian,0,0,0,0
13-11-2016,mirror,0,0,0,0
03-11-1936,guardian,0,0,0,0
15-11-2018,telegraph,0,0,0,0
06-11-2016,bbc,0,0,0,0
01-11-2023,telegraph,1,0,0,1
03-11-2013,daily_mail,0,0,1,1
03-11-2026,sun,0,1,0,1
15-11-2013,reuters,0,0,0,0
08-11-2028,reuters,0,0,0,0
05-11-2001,bbc,1,0,1,1
08-11-2018,sun,0,1,0,1
05-11-2002,independent,0,0,0,0
17-11-2012,mirror,0,0,0,0
04-11-2008,express,0,1,0,1
02-11-2002,sun,1,1,0,1
17-11-2011,mirror,0,0,0,0
13-11-2016,express,0,0,0,0
12-11-1930,sun,0,1,0,1
06-11-2025,bbc,0,0,1,1
19-11-2002,metro,0,0,0,0
13-11-2010,mirror,0,0,0,0
07-11-1930,sun,0,1,0,1
02-11-1930,daily_mail,1,0,0,1
19-11-2008,daily_mail,0,0,0,0
05-11-2029,bbc,0,0,1,1
05-11-2008,daily_mail,1,0,1,1
07-11-2018,scotsman,0,0,0,0
20-11-2001,telegraph,0,0,0,0
12-11-2026,times,0,0,0,0
14-11-2012,independent,0,1,0,1
14-11-2014,daily_mail,0,0,0,0
19-11-2010,mirror,0,1,0,1
02-11-1954,daily_mail,0,0,0,0
02-11-1936,sunday_telegraph,0,0,0,0
06-11-2007,telegraph,0,0,0,0
05-11-1936,daily_mail,0,0,1,1
07-11-2018,guardian,1,0,0,1
03-11-2001,bbc,0,0,0,0
06-11-2006,reuters,1,1,0,1
04-11-2004,bbc,1,0,0,1
05-11-2010,independent,0,0,0,0
05-11-2028,metro,0,1,0,1
03-11-2028,daily_mail,0,1,1,1
05-11-1930,bbc,0,0,0,0
19-11-2002,daily_mail,0,0,0,0
05-11-2027,bbc,0,0,0,0
20-11-2014,sun,0,0,0,0
09-11-2004,daily_mail,0,0,0,0
09-11-2017,bbc,0,0,0,0
14-11-2002,daily_mail,1,0,0,1
05-11-2002,guardian,0,0,0,0
05-11-2024,bbc,0,0,0,0
02-11-2023,bbc,1,1,0,1
16-11-2007,telegraph,1,0,0,1
03-11-2028,bbc,0,1,0,1
14-11-2003,guardian,0,0,0,0
07-11-2010,daily_mail,0,1,0,1
09-11-2004,reuters,0,0,0,0
13-11-2016,metro,0,0,0,0
19-11-2010,new_scientist,0,1,0,1
15-11-2016,daily_mail,0,1,0,1
07-11-2025,bbc,0,0,0,0
15-11-2006,mirror,0,0,0,0
07-11-1938,bbc,0,0,1,1
03-11-2011,reuters,1,1,0,1
08-11-2010,bbc,0,0,0,0
09-11-2014,telegraph,0,0,0,0
01-11-2014,telegraph,0,1,0,1
04-11-2012,telegraph,0,0,0,0
11-11-2001,independent,0,1,0,1
15-11-2007,daily_mail,0,0,0,0
07-11-2002,telegraph,0,1,0,1
16-11-2001,telegraph,0,0,1,1
05-11-2028,mirror,0,1,0,1
12-11-2019,daily_mail,0,0,0,0
07-11-1938,mirror,0,0,1,1
04-11-2001,mirror,0,1,0,1
02-11-2002,metro,0,1,0,1
06-11-2014,express,1,1,0,1
03-11-1936,reuters,0,0,0,0
05-11-2009,daily_mail,0,0,1,1
07-11-2026,daily_mail,0,0,0,0
04-11-2007,daily_mail,0,0,0,0
03-11-1942,bbc,0,0,0,0
07-11-2029,sun,0,0,0,0
05-11-1936,telegraph,0,0,1,1
15-11-2006,telegraph,0,0,1,1
07-11-2017,express,0,0,0,0
15-11-2018,metro,0,0,0,0
12-11-1930,daily_mail,0,1,0,1
14-11-2002,telegraph,1,0,0,1
05-11-2009,metro,0,0,1,1
07-11-2008,reuters,0,1,0,1
01-11-2016,times,0,0,0,0
09-11-2001,bbc,0,0,0,0
01-11-2016,reuters,0,1,0,1
13-11-2016,guardian,0,0,0,0
13-11-2016,reuters,0,0,0,0
17-11-2008,express,1,0,1,1
02-11-1930,guardian,1,0,0,1
08-11-2017,reuters,0,0,0,0
05-11-2021,express,1,0,1,1
06-11-2011,press_association,0,0,0,0
08-11-2026,times,0,0,0,0
13-11-2010,daily_mail,1,0,0,1
18-11-2004,reuters,0,0,0,0
06-11-2011,bbc,0,0,0,0
01-11-2015,express,0,0,1,1
