News Article,FS,Advice,Sample
01-11-002_daily_mail.txt,4,7,9
01-11-002_telegraph.txt,3,4,5
01-11-013_bbc.txt,3,4,5
01-11-013_daily_mail.txt,3,4,5
01-11-013_guardian.txt,3,4,5
01-11-013_independent.txt,3,4,5
01-11-013_scotsman.txt,3,4,5
01-11-013_sun.txt,3,4,5
01-11-013_times.txt,3,4,5
01-11-014_telegraph.txt,3,4,5
01-11-015_bbc.txt,3,4,5
01-11-015_daily_mail.txt,3,4,5
01-11-015_daily_star.txt,3,4,5
01-11-015_express.txt,3,4,5
01-11-015_independent.txt,3,4,5
01-11-015_metro.txt,3,4,5
01-11-015_mirror.txt,3,4,5
01-11-015_telegraph.txt,3,4,5
01-11-016_daily_mail.txt,3,4,5
01-11-016_express.txt,3,4,5
01-11-016_guardian.txt,3,4,5
01-11-016_independent.txt,3,4,5
01-11-016_metro.txt,3,4,5
01-11-016_reuters.txt,3,4,5
01-11-016_scotsman.txt,3,4,5
01-11-016_times.txt,3,4,5
01-11-019_times.txt,3,4,5
01-11-023_daily_mail.txt,3,4,5
01-11-023_express.txt,3,4,5
01-11-023_independent.txt,3,4,5
01-11-023_metro.txt,3,4,5
01-11-023_mirror.txt,3,4,5
01-11-023_reuters.txt,3,4,5
01-11-023_telegraph.txt,3,4,5
02-11-001_times.txt,3,4,5
02-11-002_bbc.txt,3,4,5
02-11-002_daily_mail.txt,3,4,5
02-11-002_express.txt,3,4,5
02-11-002_guardian.txt,3,4,5
02-11-002_independent.txt,3,4,5
02-11-002_metro.txt,3,4,5
02-11-002_sun.txt,3,4,5
02-11-002_telegraph.txt,3,4,5
02-11-002_times.txt,3,4,5
02-11-004_guardian.txt,3,4,5
02-11-012_telegraph.txt,3,4,5
02-11-022_daily_mail.txt,3,4,5
02-11-023_bbc.txt,3,4,5
02-11-023_daily_mail.txt,3,4,5
02-11-023_express.txt,3,4,5
02-11-023_guardian.txt,3,4,5
02-11-027_independent.txt,3,4,5
02-11-027_times.txt,3,4,5
02-11-029_guardian.txt,3,4,5
02-11-030_bbc.txt,3,4,5
02-11-030_daily_mail.txt,3,4,5
02-11-030_express.txt,3,4,5
02-11-030_guardian.txt,3,4,5
02-11-030_mirror.txt,3,4,5
02-11-030_telegraph.txt,3,4,5
02-11-031_daily_mail.txt,3,4,5
02-11-036_bbc.txt,3,4,5
02-11-036_guardian.txt,3,4,5
02-11-036_independent.txt,3,4,5
02-11-036_metro.txt,3,4,5
02-11-036_sunday_telegraph.txt,3,4,5
02-11-036_telegraph.txt,3,4,5
02-11-040_bbc.txt,3,4,5
02-11-040_independent.txt,3,4,5
02-11-040_reuters.txt,3,4,5
02-11-040_scotsman.txt,3,4,5
02-11-049_daily_mail.txt,3,4,5
02-11-049_mirror.txt,3,4,5
02-11-051_express.txt,3,4,5
02-11-054_daily_mail.txt,3,4,5
02-11-054_sun.txt,3,4,5
02-11-054_telegraph.txt,3,4,5
02-11-54_telegraph.txt,3,4,5
03-11-001_bbc.txt,3,4,5
03-11-001_daily_mail.txt,3,4,5
03-11-001_guardian.txt,3,4,5
03-11-001_reuters.txt,3,4,5
03-11-001_scotsman.txt,3,4,5
03-11-001_sun.txt,3,4,5
03-11-004_bbc.txt,3,4,5
03-11-004_express.txt,3,4,5
03-11-004_mail_sunday.txt,3,4,5
03-11-004_reuters.txt,3,4,5
03-11-004_telegraph.txt,3,4,5
03-11-005_bbc.txt,3,4,5
03-11-005_daily_mail.txt,3,4,5
03-11-005_guardian.txt,3,4,5
03-11-005_independent.txt,3,4,5
03-11-005_reuters.txt,3,4,5
03-11-005_telegraph.txt,3,4,5
03-11-006_daily_mail.txt,3,4,5
03-11-007_bbc.txt,3,4,5
03-11-007_daily_mail.txt,3,4,5
03-11-011_daily_mail.txt,3,4,5
03-11-011_guardian.txt,3,4,5
03-11-011_reuters.txt,3,4,5
03-11-012_scotsman.txt,3,4,5
03-11-012_times.txt,3,4,5
03-11-013_bbc.txt,3,4,5
03-11-013_daily_mail.txt,3,4,5
03-11-013_guardian.txt,3,4,5
03-11-014_guardian.txt,3,4,5
03-11-019_daily_mail.txt,3,4,5
03-11-019_guardian.txt,3,4,5
03-11-019_telegraph.txt,3,4,5
03-11-020_bbc.txt,3,4,5
03-11-020_reuters.txt,3,4,5
03-11-020_telegraph.txt,3,4,5
03-11-022_metro.txt,3,4,5
03-11-022_mirror.txt,3,4,5
03-11-022_sun.txt,3,4,5
03-11-022_telegraph.txt,3,4,5
03-11-024_daily_mail.txt,3,4,5
03-11-024_guardian.txt,3,4,5
03-11-024_metro.txt,3,4,5
03-11-025_express.txt,3,4,5
03-11-025_independent.txt,3,4,5
03-11-025_times.txt,3,4,5
03-11-026_bbc.txt,3,4,5
03-11-026_daily_mail.txt,3,4,5
03-11-026_express.txt,3,4,5
03-11-026_guardian.txt,3,4,5
03-11-026_independent.txt,3,4,5
03-11-026_metro.txt,3,4,5
03-11-026_reuters.txt,3,4,5
03-11-026_scotsman.txt,3,4,5
03-11-026_sun.txt,3,4,5
03-11-026_telegraph.txt,3,4,5
03-11-026_times.txt,3,4,5
03-11-027_bbc.txt,3,4,5
03-11-027_guardian.txt,3,4,5
03-11-027_independent.txt,3,4,5
03-11-027_reuters.txt,3,4,5
03-11-027_scotsman.txt,3,4,5
03-11-027_telegraph.txt,3,4,5
03-11-027_times.txt,3,4,5
03-11-028_bbc.txt,3,4,5
03-11-028_daily_mail.txt,3,4,5
03-11-028_express.txt,3,4,5
03-11-028_reuters.txt,3,4,5
03-11-028_sun.txt,3,4,5
03-11-029_reuters.txt,3,4,5
03-11-032_reuters.txt,3,4,5
03-11-032_sun.txt,3,4,5
03-11-032_times.txt,3,4,5
03-11-033_daily_mail.txt,3,4,5
03-11-033_reuters.txt,3,4,5
03-11-035_bbc.txt,3,4,5
03-11-036_guardian.txt,3,4,5
03-11-036_reuters.txt,3,4,5
03-11-038_bbc.txt,3,4,5
03-11-038_telegraph.txt,3,4,5
03-11-040_daily_mail.txt,3,4,5
03-11-040_mirror.txt,3,4,5
03-11-040_sun.txt,3,4,5
03-11-042_bbc.txt,3,4,5
03-11-042_mirror.txt,3,4,5
04-11-001_bbc.txt,3,4,5
04-11-001_daily_mail.txt,3,4,5
04-11-001_express.txt,3,4,5
04-11-001_guardian.txt,3,4,5
04-11-001_independent.txt,3,4,5
04-11-001_mirror.txt,3,4,5
04-11-001_reuters.txt,3,4,5
04-11-001_telegraph.txt,3,4,5
04-11-001_times.txt,3,4,5
04-11-004_bbc.txt,3,4,5
04-11-007_daily_mail.txt,3,4,5
04-11-007_independent.txt,3,4,5
04-11-007_telegraph.txt,3,4,5
04-11-008_bbc.txt,3,4,5
04-11-008_daily_mail.txt,3,4,5
04-11-008_express.txt,3,4,5
04-11-008_independent.txt,3,4,5
04-11-008_metro.txt,3,4,5
04-11-008_sun.txt,3,4,5
04-11-009_daily_mail.txt,3,4,5
04-11-009_express.txt,3,4,5
04-11-010_express.txt,3,4,5
04-11-010_independent.txt,3,4,5
04-11-012_daily_mail.txt,3,4,5
04-11-012_telegraph.txt,3,4,5
04-11-016_bbc.txt,3,4,5
04-11-017_bbc.txt,3,4,5
04-11-017_daily_mail.txt,3,4,5
04-11-018_reuters.txt,3,4,5
04-11-018_telegraph.txt,3,4,5
05-11-001_bbc.txt,3,4,5
05-11-001_express.txt,3,4,5
05-11-002_bbc.txt,3,4,5
05-11-002_daily_mail.txt,3,4,5
05-11-002_guardian.txt,3,4,5
05-11-002_independent.txt,3,4,5
05-11-002_reuters.txt,3,4,5
05-11-002_telegraph.txt,3,4,5
05-11-004_bbc.txt,3,4,5
05-11-004_times.txt,3,4,5
05-11-005_metro.txt,3,4,5
05-11-005_scotsman.txt,3,4,5
05-11-006_scotsman.txt,3,4,5
05-11-006_times.txt,3,4,5
05-11-007_bbc.txt,3,4,5
05-11-007_reuters.txt,3,4,5
05-11-007_scotsman.txt,3,4,5
05-11-007_sun.txt,3,4,5
05-11-007_telegraph.txt,3,4,5
05-11-008_daily_mail.txt,3,4,5
05-11-008_express.txt,3,4,5
05-11-008_metro.txt,3,4,5
05-11-009_bbc.txt,3,4,5
05-11-009_daily_mail.txt,3,4,5
05-11-009_metro.txt,3,4,5
05-11-009_sun.txt,3,4,5
05-11-010_bbc.txt,3,4,5
05-11-010_express.txt,3,4,5
05-11-010_independent.txt,3,4,5
05-11-010_metro.txt,3,4,5
05-11-010_scotsman.txt,3,4,5
05-11-010_sun.txt,3,4,5
05-11-011_bbc.txt,3,4,5
05-11-011_daily_mail.txt,3,4,5
05-11-011_express.txt,3,4,5
05-11-011_independent.txt,3,4,5
05-11-011_sun.txt,3,4,5
05-11-012_bbc.txt,3,4,5
05-11-018_bbc.txt,3,4,5
05-11-018_daily_mail.txt,3,4,2
05-11-018_express.txt,4,4,2
05-11-018_metro.txt,4,4,2
05-11-018_sun.txt,4,4,2
05-11-018_telegraph.txt,4,4,2
05-11-020_scotsman.txt,4,4,2
05-11-021_bbc.txt,4,4,2
05-11-021_daily_mail.txt,4,4,2
05-11-021_express.txt,4,4,2
05-11-021_reuters.txt,4,4,2
05-11-022_metro.txt,4,4,2
05-11-023_daily_mail.txt,4,4,2
05-11-023_guardian.txt,4,4,2
05-11-023_times.txt,4,4,2
05-11-024_bbc.txt,4,4,2
05-11-024_mirror.txt,4,4,2
05-11-024_reuters.txt,4,4,2
05-11-024_scotsman.txt,4,4,2
05-11-025_express.txt,4,4,2
05-11-025_metro.txt,4,4,2
05-11-026_metro.txt,4,4,2
05-11-027_bbc.txt,4,4,2
05-11-028_metro.txt,4,4,2
05-11-028_mirror.txt,4,4,2
05-11-028_scotsman.txt,4,4,2
05-11-029_bbc.txt,4,4,2
05-11-029_metro.txt,4,4,2
05-11-030_bbc.txt,4,4,2
05-11-030_independent.txt,4,4,2
05-11-030_metro.txt,4,4,2
05-11-030_scotsman.txt,4,4,2
05-11-031_bbc.txt,4,4,2
05-11-031_daily_mail.txt,4,4,2
05-11-031_independent.txt,4,4,2
05-11-031_metro.txt,4,4,2
05-11-034_bbc.txt,4,4,2
05-11-034_metro.txt,4,4,2
05-11-035_bbc.txt,4,4,2
05-11-035_sun.txt,4,4,2
05-11-036_bbc.txt,4,4,2
05-11-036_daily_mail.txt,4,4,2
05-11-036_independent.txt,4,4,2
05-11-036_metro.txt,4,4,2
05-11-036_sun.txt,4,4,2
05-11-036_telegraph.txt,4,4,2
06-11-001_daily_mail.txt,4,4,2
06-11-001_guardian.txt,4,4,2
06-11-001_mirror.txt,4,4,2
06-11-005_sun.txt,4,4,2
06-11-006_daily_mail.txt,4,4,2
06-11-006_reuters.txt,4,4,2
06-11-006_washington_post.txt,4,4,2
06-11-007_bbc.txt,4,4,2
06-11-007_daily_mail.txt,4,4,2
06-11-007_express.txt,4,4,2
06-11-007_mirror.txt,4,4,2
06-11-007_reuters.txt,4,4,2
06-11-007_telegraph.txt,4,4,2
06-11-010_express.txt,4,4,2
06-11-010_metro.txt,4,4,2
06-11-010_scotsman.txt,4,4,2
06-11-011_bbc.txt,4,4,2
06-11-011_daily_star.txt,4,4,2
06-11-011_express.txt,4,4,2
06-11-011_metro.txt,4,4,2
06-11-011_mirror.txt,4,4,2
06-11-011_press_association.txt,4,4,2
06-11-011_sun.txt,4,4,2
06-11-014_daily_mail.txt,4,4,2
06-11-014_express.txt,4,4,2
06-11-014_times_malta.txt,4,4,2
06-11-015_bbc.txt,4,4,2
06-11-016_bbc.txt,4,4,2
06-11-018_bbc.txt,4,4,2
06-11-018_express.txt,4,4,2
06-11-018_telegraph.txt,4,4,2
06-11-018_times.txt,4,4,2
06-11-020_telegraph.txt,4,4,2
06-11-021_scotsman.txt,4,4,2
06-11-023_bbc.txt,4,4,2
06-11-023_independent.txt,4,4,2
06-11-023_metro.txt,4,4,2
06-11-025_bbc.txt,4,4,2
06-11-025_daily_mail.txt,4,4,2
06-11-025_express.txt,4,4,2
06-11-025_guardian.txt,4,4,2
06-11-025_sun.txt,4,4,2
06-11-025_telegraph.txt,4,4,2
07-11-001_express.txt,4,4,2
07-11-001_reuters.txt,4,4,2
07-11-002_bbc.txt,4,4,2
07-11-002_daily_mail.txt,4,4,2
07-11-002_economist.txt,4,4,2
07-11-002_express.txt,4,4,2
07-11-002_guardian.txt,4,4,2
07-11-002_sun.txt,4,4,2
07-11-002_telegraph.txt,4,4,2
07-11-004_metro.txt,4,4,2
07-11-004_telegraph.txt,4,4,2
07-11-008_reuters.txt,4,4,2
07-11-010_bbc.txt,4,4,2
07-11-010_daily_mail.txt,4,4,2
07-11-010_telegraph.txt,4,4,2
07-11-011_express.txt,4,4,2
07-11-011_scotsman.txt,4,4,2
07-11-011_sun.txt,4,4,2
07-11-011_telegraph.txt,4,4,2
07-11-013_metro.txt,4,4,2
07-11-013_mirror.txt,4,4,2
07-11-015_telegraph.txt,4,4,2
07-11-016_press_association.txt,4,4,2
07-11-017_bbc.txt,4,4,2
07-11-017_express.txt,4,4,2
07-11-017_guardian.txt,4,4,2
07-11-017_press_association.txt,4,4,2
07-11-017_reuters.txt,4,4,2
07-11-017_times.txt,4,4,2
07-11-018_express.txt,4,4,2
07-11-018_guardian.txt,4,4,2
07-11-018_scotsman.txt,4,4,2
07-11-018_telegraph.txt,4,4,2
07-11-020_bbc.txt,4,4,2
07-11-020_guardian.txt,4,4,2
07-11-022_mirror.txt,4,4,2
07-11-024_bbc.txt,4,4,2
07-11-025_bbc.txt,4,4,2
07-11-025_sunday_sun.txt,4,4,2
07-11-026_daily_mail.txt,4,4,2
07-11-026_telegraph.txt,4,4,2
07-11-029_daily_mail.txt,4,4,2
07-11-029_express.txt,4,4,2
07-11-029_mirror.txt,4,4,2
07-11-029_sun.txt,4,4,2
07-11-029_telegraph.txt,4,4,2
07-11-029_times.txt,4,4,2
07-11-030_daily_mail.txt,4,4,2
07-11-030_metro.txt,4,4,2
07-11-030_sun.txt,4,4,2
07-11-032_metro.txt,4,4,2
07-11-032_telegraph.txt,4,4,2
07-11-033_daily_mail.txt,4,4,2
07-11-033_reuters.txt,4,4,2
07-11-033_sun.txt,4,4,2
07-11-038_bbc.txt,4,4,2
07-11-038_daily_mail.txt,4,4,2
07-11-038_mirror.txt,4,4,2
07-11-038_reuters.txt,4,4,2
07-11-038_sun.txt,4,4,2
07-11-041_sun.txt,4,4,2
08-11-003_bbc.txt,4,4,2
08-11-004_daily_mail.txt,4,4,2
08-11-004_reuters.txt,4,4,2
08-11-004_times.txt,4,4,2
08-11-008_express.txt,4,4,2
08-11-008_sun.txt,4,4,2
08-11-008_telegraph.txt,4,4,2
08-11-010_bbc.txt,4,4,2
08-11-011_daily_mail.txt,4,4,2
08-11-011_reuters.txt,4,4,2
08-11-014_mirror.txt,4,4,2
08-11-017_daily_mail.txt,4,4,2
08-11-017_mail_online.txt,4,4,2
08-11-017_reuters.txt,4,4,2
08-11-018_daily_mail.txt,4,4,2
08-11-018_express.txt,4,4,2
08-11-018_independent.txt,4,4,2
08-11-018_mail_online.txt,4,4,2
08-11-018_mirror.txt,4,4,2
08-11-018_reuters.txt,4,4,2
08-11-018_sun.txt,4,4,2
08-11-018_telegraph.txt,4,4,2
08-11-019_reuters.txt,4,4,2
08-11-021_bbc.txt,4,4,2
08-11-021_telegraph.txt,4,4,2
08-11-026_bbc.txt,4,4,2
08-11-026_guardian.txt,4,4,2
08-11-026_independent.txt,4,4,2
08-11-026_mail_online.txt,4,4,2
08-11-026_metro.txt,4,4,2
08-11-026_mirror.txt,4,4,2
08-11-026_scotsman.txt,4,4,2
08-11-026_sun.txt,4,4,2
08-11-026_telegraph.txt,4,4,2
08-11-026_times.txt,4,4,2
08-11-027_independent.txt,4,4,2
08-11-027_mirror.txt,4,4,2
08-11-028_bbc.txt,4,4,2
08-11-028_guardian.txt,4,4,2
08-11-028_independent.txt,4,4,2
08-11-028_reuters.txt,4,4,2
08-11-028_telegraph.txt,4,4,2
09-11-001_bbc.txt,4,4,2
09-11-0012_daily_mail.txt,4,4,2
09-11-003_daily_mail.txt,4,4,2
09-11-003_daily_star.txt,4,4,2
09-11-003_express.txt,4,4,2
09-11-003_mail_online.txt,4,4,2
09-11-003_mirror.txt,4,4,2
09-11-004_bbc.txt,4,4,2
09-11-004_daily_mail.txt,4,4,2
09-11-004_express.txt,4,4,2
09-11-004_mail_online.txt,4,4,2
09-11-004_mirror.txt,4,4,2
09-11-004_reuters.txt,4,4,2
09-11-004_times.txt,4,4,2
09-11-009_reuters.txt,4,4,2
09-11-012_daily_mail.txt,4,4,2
09-11-012_mail_online.txt,4,4,2
09-11-013_express.txt,4,4,2
09-11-014_telegraph.txt,4,4,2
09-11-017_bbc.txt,4,4,2
10-11-003_telegraph.txt,4,4,2
11-11-001_express.txt,4,4,2
11-11-001_guardian.txt,4,4,2
11-11-001_independent.txt,4,4,2
11-11-001_sun.txt,4,4,2
11-11-004_daily_mail.txt,4,4,2
11-11-004_mail_online.txt,4,4,2
11-11-005_express.txt,4,4,2
11-11-005_metro.txt,4,4,2
11-11-006_telegraph.txt,4,4,2
12-11-003_mirror.txt,4,4,2
12-11-005_bbc.txt,4,4,2
12-11-005_guardian.txt,4,4,2
12-11-005_independent.txt,4,4,2
12-11-005_mirror.txt,4,4,2
12-11-005_telegraph.txt,4,4,2
12-11-008_daily_mail.txt,4,4,2
12-11-008_express.txt,4,4,2
12-11-009_express.txt,4,4,2
12-11-012_daily_mail.txt,4,4,2
12-11-012_mail_online.txt,4,4,2
12-11-012_metro.txt,4,4,2
12-11-012_mirror.txt,4,4,2
12-11-015_express.txt,4,4,2
12-11-015_mirror.txt,4,4,2
12-11-015_telegraph.txt,4,4,2
12-11-019_daily_mail.txt,4,4,2
12-11-019_guardian.txt,4,4,2
12-11-019_mail_online.txt,4,4,2
12-11-019_times.txt,4,4,2
12-11-023_bbc.txt,4,4,2
12-11-024_times.txt,4,4,2
12-11-026_daily_mail.txt,4,4,2
12-11-026_express.txt,4,4,2
12-11-026_guardian.txt,4,4,2
12-11-026_mail_online.txt,4,4,2
12-11-026_mirror.txt,4,4,2
12-11-026_reuters.txt,4,4,2
12-11-026_times.txt,4,4,2
12-11-028_reuters.txt,4,4,2
12-11-030_daily_mail.txt,4,4,2
12-11-030_daily_sun.txt,4,4,2
12-11-030_mail_online.txt,4,4,2
12-11-030_sun.txt,4,4,2
13-11-002_bbc.txt,4,4,2
13-11-002_daily_record.txt,4,4,2
13-11-002_guardian.txt,4,4,2
13-11-002_mirror.txt,4,4,2
13-11-003_daily_mail.txt,4,4,2
13-11-003_independent.txt,4,4,2
13-11-003_mail_online.txt,4,4,2
13-11-009_telegraph.txt,4,4,2
13-11-010_daily_mail.txt,4,4,2
13-11-010_express.txt,4,4,2
13-11-010_guardian.txt,4,4,2
13-11-010_independent.txt,4,4,2
13-11-010_mail_online.txt,4,4,2
13-11-010_metro.txt,4,4,2
13-11-010_mirror.txt,4,4,2
13-11-010_sun.txt,4,4,2
13-11-010_telegraph.txt,4,4,2
13-11-010_times.txt,4,4,2
13-11-011_express.txt,4,4,2
13-11-011_mail_online.txt,4,4,2
13-11-012_reuters.txt,4,4,2
13-11-013_independent.txt,4,4,2
13-11-015_telegraph.txt,4,4,2
13-11-016_bbc.txt,4,4,2
13-11-016_daily_mail.txt,4,4,2
13-11-016_express.txt,4,4,2
13-11-016_guardian.txt,4,4,2
13-11-016_mail_online.txt,4,4,2
13-11-016_metro.txt,4,4,2
13-11-016_mirror.txt,4,4,2
13-11-016_reuters.txt,4,4,2
13-11-016_sun.txt,4,4,2
13-11-016_telegraph.txt,4,4,2
13-11-016_times.txt,4,4,2
14-11-002_daily_mail.txt,4,4,2
14-11-002_independent.txt,4,4,2
14-11-002_telegraph.txt,4,4,2
14-11-003_daily_star.txt,4,4,2
14-11-003_guardian.txt,4,4,2
14-11-004_telegraph.txt,4,4,2
14-11-006_daily_mail.txt,4,4,2
14-11-006_mail_online.txt,4,4,2
14-11-006_sunday_times.txt,4,4,2
14-11-006_telegraph.txt,4,4,2
14-11-007_bbc.txt,4,4,2
14-11-007_reuters.txt,4,4,2
14-11-012_bbc.txt,4,4,2
14-11-012_express.txt,4,4,2
14-11-012_guardian.txt,4,4,2
14-11-012_independent.txt,4,4,2
14-11-012_telegraph.txt,4,4,2
14-11-012_times.txt,4,4,2
14-11-014_daily_mail.txt,4,4,2
14-11-014_mail_online.txt,4,4,2
14-11-018_daily_mail.txt,4,4,2
14-11-018_mail_online.txt,4,4,2
14-11-020_mirror.txt,4,4,2
14-11-021_daily_mail.txt,4,4,2
14-11-021_mail_online.txt,4,4,2
14-11-027_bbc.txt,4,4,2
15-11-001_bbc.txt,4,4,2
15-11-001_reuters.txt,4,4,2
15-11-006_bbc.txt,4,4,2
15-11-006_express.txt,4,4,2
15-11-006_mail_online.txt,4,4,2
15-11-006_mirror.txt,4,4,2
15-11-006_sun.txt,4,4,2
15-11-006_telegraph.txt,4,4,2
15-11-007_daily_mail.txt,4,4,2
15-11-010_bbc.txt,4,4,2
15-11-011_bbc.txt,4,4,2
15-11-011_guardian.txt,4,4,2
15-11-011_scotsman.txt,4,4,2
15-11-011_sun.txt,4,4,2
15-11-011_telegraph.txt,4,4,2
15-11-013_bbc.txt,4,4,2
15-11-013_daily_mail.txt,4,4,2
15-11-013_express.txt,4,4,2
15-11-013_guardian.txt,4,4,2
15-11-013_metro.txt,4,4,2
15-11-013_mirror.txt,4,4,2
15-11-013_reuters.txt,4,4,2
15-11-013_sun.txt,4,4,2
15-11-013_telegraph.txt,4,4,2
15-11-014_bbc.txt,4,4,2
15-11-014_daily_mail.txt,4,4,2
15-11-014_daily_star.txt,4,4,2
15-11-014_express.txt,4,4,2
15-11-014_independent.txt,4,4,2
15-11-014_mirror.txt,4,4,2
15-11-015_bbc.txt,4,4,2
15-11-016_bbc.txt,4,4,2
15-11-016_daily_mail.txt,4,4,2
15-11-016_guardian.txt,4,4,2
15-11-016_independent.txt,4,4,2
15-11-016_metro.txt,4,4,2
15-11-016_mirror.txt,4,4,2
15-11-016_scotsman.txt,4,4,2
15-11-016_sun.txt,4,4,2
15-11-016_telegraph.txt,4,4,2
15-11-016_times.txt,4,4,2
15-11-017_bbc.txt,4,4,2
15-11-018_bbc.txt,4,4,2
15-11-018_metro.txt,4,4,2
15-11-018_telegraph.txt,4,4,2
15-11-021_metro.txt,4,4,2
15-11-021_telegraph.txt,4,4,2
15-11-023_bbc.txt,4,4,2
15-11-023_scotsman.txt,4,4,2
15-11-026_reuters.txt,4,4,2
15-11-027_telegraph.txt,4,4,2
16-11-001_bbc.txt,4,4,2
16-11-001_press_association.txt,4,4,2
16-11-001_telegraph.txt,4,4,2
16-11-002_telegraph.txt,4,4,2
16-11-003_bbc.txt,4,4,2
16-11-005_bbc.txt,4,4,2
16-11-005_express.txt,4,4,2
16-11-005_metro.txt,4,4,2
16-11-005_mirror.txt,4,4,2
16-11-005_sun.txt,4,4,2
16-11-006_bbc.txt,4,4,2
16-11-006_metro.txt,4,4,2
16-11-006_mirror.txt,4,4,2
16-11-007_bbc.txt,4,4,2
16-11-007_daily_mail.txt,4,4,2
16-11-007_express.txt,4,4,2
16-11-007_guardian.txt,4,4,2
16-11-007_metro.txt,4,4,2
16-11-007_mirror.txt,4,4,2
16-11-007_reuters.txt,4,4,2
16-11-007_sun.txt,4,4,2
16-11-007_telegraph.txt,4,4,2
16-11-007_times.txt,4,4,2
17-11-003_metro_1.txt,4,4,2
17-11-003_metro_2.txt,4,4,2
17-11-003_telegraph.txt,4,4,2
17-11-007_daily_mail.txt,4,4,2
17-11-007_metro.txt,4,4,2
17-11-007_telegraph.txt,4,4,2
17-11-008_express.txt,4,4,2
17-11-011_mirror.txt,4,4,2
17-11-012_bbc.txt,4,4,2
17-11-012_daily_mail.txt,4,4,2
17-11-012_mirror.txt,4,4,2
17-11-012_telegraph.txt,4,4,2
17-11-012_times.txt,4,4,2
18-11-004_reuters.txt,4,4,2
18-11-004_telegraph.txt,4,4,2
18-11-005_bbc.txt,4,4,2
18-11-006_i_independent.txt,4,4,2
18-11-006_independent.txt,4,4,2
18-11-011_mirror.txt,4,4,2
18-11-012_bbc.txt,4,4,2
18-11-013_daily_mail.txt,4,4,2
18-11-013_guardian.txt,4,4,2
18-11-013_telegraph.txt,4,4,2
19-11-001_telegraph.txt,4,4,2
19-11-001_times.txt,4,4,2
19-11-002_daily_mail.txt,4,4,2
19-11-002_metro.txt,4,4,2
19-11-002_telegraph.txt,4,4,2
19-11-003_bbc.txt,4,4,2
19-11-004_bbc.txt,4,4,2
19-11-006_bbc.txt,4,4,2
19-11-006_guardian.txt,4,4,2
19-11-008_daily_mail.txt,3,2,4
19-11-009_daily_mail.txt,3,2,4
19-11-009_telegraph.txt,3,2,4
19-11-010_mirror.txt,3,2,4
19-11-010_new_scientist.txt,3,2,4
19-11-010_sun.txt,3,2,4
19-11-011_express.txt,3,2,4
19-11-011_metro.txt,3,2,4
19-11-012_independent.txt,3,2,4
19-11-012_metro.txt,3,2,4
19-11-013_mirror.txt,3,2,4
19-11-014_daily_mail.txt,3,2,4
19-11-014_metro.txt,3,2,4
19-11-014_mirror.txt,3,2,4
19-11-014_new_scientist.txt,3,2,4
19-11-014_reuters.txt,3,2,4
19-11-014_sun.txt,3,2,4
19-11-016_bbc.txt,3,2,4
20-11-001_telegraph.txt,3,2,4
20-11-003_daily_mail.txt,3,2,4
20-11-004_telegraph.txt,3,2,4
20-11-005_bbc.txt,3,2,4
20-11-005_mirror.txt,3,2,4
20-11-011_bbc.txt,3,2,4
20-11-011_metro.txt,3,2,4
20-11-011_mirror.txt,3,2,4
20-11-011_sun.txt,3,2,4
20-11-011_telegraph.txt,3,2,4
20-11-014_bbc.txt,3,2,4
20-11-014_daily_mail.txt,3,2,4
20-11-014_mirror.txt,3,2,4
20-11-014_reuters.txt,3,2,4
20-11-014_sun.txt,3,2,4
20-11-019_telegraph.txt,3,2,4
20-11-020_daily_mail.txt,3,2,4
20-11-020_telegraph.txt,3,2,4
